A1IH7F19OWLD3A,53,"2019-07-10 09:00:02PM","2019-07-10 09:00:24PM",3,0.0,0.08
A1IH7F19OWLD3A,54,"2019-07-10 09:00:43PM","2019-07-10 09:01:14PM",3,3.0,0.08
A1IH7F19OWLD3A,55,"2019-07-10 09:02:04PM","2019-07-10 09:02:18PM",2,0.0,0.08
A1KBDN6C1Q0D4U,649,"2019-07-15 07:24:55PM","2019-07-15 07:25:06PM",3,2.0,0.095
A1KBDN6C1Q0D4U,650,"2019-07-15 07:25:15PM","2019-07-15 07:25:36PM",3,3.0,0.09
A1KBDN6C1Q0D4U,651,"2019-07-15 07:25:51PM","2019-07-15 07:26:11PM",3,1.0,0.09
A1LUWOV426JV1N,591,"2019-07-15 09:23:13AM","2019-07-15 09:23:39AM",2,2.0,0.07
A1LUWOV426JV1N,592,"2019-07-15 09:24:27AM","2019-07-15 09:24:27AM",1,1.0,0.025
A1LUWOV426JV1N,593,"2019-07-15 09:24:57AM","2019-07-15 09:25:11AM",3,3.0,0.07
A1M6A01CROTF3K,487,"2019-07-14 08:20:23AM","2019-07-14 08:20:37AM",3,2.0,0.12
A1M6A01CROTF3K,488,"2019-07-14 08:20:55AM","2019-07-14 08:21:15AM",3,2.0,0.095
A1M6A01CROTF3K,489,"2019-07-14 08:21:29AM","2019-07-14 08:21:34AM",2,1.0,0.04
A1NYHBSW9EIQX9,655,"2019-07-15 08:30:06PM","2019-07-15 08:30:36PM",3,2.0,0.15
A1NYHBSW9EIQX9,656,"2019-07-15 08:30:47PM","2019-07-15 08:31:23PM",3,3.0,0.08
A1NYHBSW9EIQX9,657,"2019-07-15 08:31:34PM","2019-07-15 08:31:54PM",3,3.0,0.085
A1OSESE6RG3NFB,45,"2019-07-10 08:52:06PM","2019-07-10 08:52:15PM",3,2.0,0.07
A1OSESE6RG3NFB,46,"2019-07-10 08:52:22PM","2019-07-10 08:52:41PM",3,3.0,0.07
A1OSESE6RG3NFB,47,"2019-07-10 08:53:02PM","2019-07-10 08:53:12PM",3,1.0,0.105
A1OSYT1HAG3ZQM,327,"2019-07-12 03:59:35PM","2019-07-12 04:00:11PM",3,2.0,0.075
A1OWHPMKE7YAGL,317,"2019-07-12 03:37:04PM","2019-07-12 03:37:19PM",3,2.0,0.07
A1OWHPMKE7YAGL,318,"2019-07-12 03:37:31PM","2019-07-12 03:37:49PM",3,2.0,0.06
A1OWHPMKE7YAGL,319,"2019-07-12 03:37:55PM","2019-07-12 03:38:13PM",3,2.0,0.1
A1QC6WNXRWWPCC,379,"2019-07-13 03:57:40AM","2019-07-13 03:57:59AM",2,2.0,0.05
A1QC6WNXRWWPCC,380,"2019-07-13 03:58:09AM","2019-07-13 03:58:33AM",3,1.0,0.095
A1QC6WNXRWWPCC,381,"2019-07-13 03:58:57AM","2019-07-13 03:59:06AM",2,1.0,0.055
A1QGQCC33OBPKM,425,"2019-07-13 02:51:49PM","2019-07-13 02:52:29PM",3,3.0,0.12
A1QGQCC33OBPKM,426,"2019-07-13 02:52:40PM","2019-07-13 02:53:34PM",3,3.0,0.08
A1QGQCC33OBPKM,427,"2019-07-13 02:54:04PM","2019-07-13 02:54:38PM",3,3.0,0.085
A1VA5PON4OHGYA,515,"2019-07-14 02:15:01PM","2019-07-14 02:15:29PM",2,1.0,0.045
A1VA5PON4OHGYA,516,"2019-07-14 02:16:31PM","2019-07-14 02:16:55PM",2,2.0,0.05
A1VA5PON4OHGYA,517,"2019-07-14 02:17:14PM","2019-07-14 02:18:07PM",3,2.0,0.08
A1XLQVD1R2V8CL,406,"2019-07-13 07:15:10AM","2019-07-13 07:15:19AM",3,1.0,0.1
A1YJZESXJDG0XM,188,"2019-07-11 06:11:37AM","2019-07-11 06:12:15AM",3,2.0,0.09
A1YJZESXJDG0XM,189,"2019-07-11 06:12:35AM","2019-07-11 06:12:51AM",2,2.0,0.05
A1YJZESXJDG0XM,190,"2019-07-11 06:13:10AM","2019-07-11 06:13:35AM",3,2.0,0.11
A1YTKIM7NU5MGV,127,"2019-07-11 02:01:04AM","2019-07-11 02:02:40AM",3,2.0,0.1
